Point_Name,x,y
Bottom left fence facing cemetery,832052.878,3761481.555
Bottom right fence facing cemetery,832053.102,3761477.974
C01,832083.4394788686,3761494.65481368
C02,832055.3738449856,3761486.0847573997
C03,832070.6110649452,3761475.316917459
C04,832079.2965419035,3761475.165311895
C05,832076.7360787098,3761461.316556735
C06,832059.4495421855,3761453.897301964
C07,832060.7539559916,3761444.615915463
C08,832065.344404601,3761438.692767401
C09,832083.8846540663,3761439.4767709887
C10,832099.7833598113,3761434.0024075853
C11,832096.5742841918,3761435.377110503
C12,832035.4027258974,3761436.099038268
Closest stone,832115.275,3761433.732
Top left facing cemetery,832055.474,3761481.779
Top left fence facing cemetery,832055.474,3761481.779
Top right fence facing cemetery,832055.676,3761478.22
Top right of building facing cemetery,832053.158,3761430.33
